Hotel,Location,City,Review,Review_score,User_rating,Review_Score,Review_number,Star_Rating,User_Rating,Star_rating
Stylish and Beautiful 1 Bedroom Flat in Birmingham,1 km from center,"Gay Village Birmingham, Birmingham",,Very Good,8.2,,"4,205 reviews",,,
Edgbaston Park Hotel Birmingham,4 km from center,Show on map,,Very Good,6.3,,25 reviews,,,
"The Fountain Inn, Digbeth",1.3 km from center,"Edgbaston, Birmingham",,Review score,7.6,,6 reviews,,,
Pluxa Urban View Birmingham,1.7 km from center,Show on map,,Good,9.0,,25 reviews,,,
The Cotteridge Inn,7.8 km from center,"Eastside, Birmingham",,Wonderful,7.1,,"1,327 reviews",,,
Staycity Aparthotels Birmingham Jewellery Quarter,1.1 km from center,Show on map,,Good,8.0,,9 reviews,,,
Pluxa Green Velvet,1.9 km from center,Birmingham,,Very Good,8.2,,"4,264 reviews",,,
Hilton Garden Inn Birmingham Brindley Place,1.7 km from center,Show on map,,Very Good,7.9,,"5,071 reviews",,,
ibis Styles Birmingham Centre,1.1 km from center,"Digbeth, Birmingham",,Good,4.7,,55 reviews,,,
CALIBER STAYS Apartments & Homes - The Medusa Suite - 2 Bedroom Apartment - City Centre - FREE NETFLIX,1.5 km from center,Show on map,,Review score,8.0,,3 reviews,,,
Kunda House Oliver,4.3 km from center,"Edgbaston, Birmingham",,Very Good,8.0,,2 reviews,,,
Modern and Stylish 1 Bedroom Apartment in the Heart of Birmingham,1 km from center,Show on map,,Very Good,8.0,,"3,199 reviews",,,
